frame,y,x,minor,area,convexity,major,circularity,particle,label
58,31.9233,34.3058,1.6948,6.7361,0.9327,5.0605,0.5901,1,AFA855
59,31.0945,35.0934,1.7975,7.3073,0.8641,5.176,0.5652,1,AFA855
60,30.8785,35.2225,1.5468,6.1345,0.8425,5.0496,0.5131,1,AFA855
61,31.1238,35.029,1.4246,5.4587,0.8305,4.8787,0.5067,1,AFA855
62,31.7969,34.4013,1.4814,4.0591,0.9181,3.4888,0.6457,1,AFA855
63,33.2631,33.0557,1.7189,6.8975,0.9265,5.1091,0.5647,1,AFA855
64,34.7614,31.444,1.676,7.6212,0.9195,5.7899,0.5135,1,AFA855
65,34.6785,31.5037,1.6572,7.3596,0.9249,5.6544,0.5365,1,AFA855
66,34.8911,31.328,1.8916,8.031,0.9505,5.4057,0.6234,1,AFA855
67,34.6759,31.5438,1.8705,7.6517,0.9395,5.2084,0.6327,1,AFA855
68,34.2487,31.9397,1.882,6.3045,0.9439,4.2652,0.7041,1,AFA855
69,33.3385,32.7749,1.7017,4.6739,0.9525,3.497,0.75,1,AFA855
70,31.6208,34.5996,1.5839,6.9193,0.902,5.5623,0.516,1,AFA855
71,31.1206,35.0839,1.6569,7.207,0.9178,5.5383,0.5499,1,AFA855
72,31.4562,34.7759,1.7613,6.6489,0.9472,4.8064,0.6499,1,AFA855
73,31.8921,34.173,1.4296,3.8455,0.9373,3.4249,0.6914,1,AFA855
74,33.0537,33.244,1.7643,7.0021,0.937,5.0532,0.6017,1,AFA855
75,34.416,32.0321,1.5619,6.9236,0.9177,5.644,0.527,1,AFA855
76,34.3993,32.0176,1.7799,7.5733,0.9484,5.4173,0.6099,1,AFA855
77,34.4133,31.9872,1.7514,7.1547,0.9271,5.2014,0.6139,1,AFA855
78,33.8986,32.335,1.7123,5.7987,0.9346,4.312,0.6914,1,AFA855
79,33.3854,32.7711,1.746,4.8832,0.952,3.561,0.7607,1,AFA855
80,32.5551,33.6977,1.7998,6.383,0.9397,4.5155,0.6343,1,AFA855
81,31.565,34.6915,1.6836,6.819,0.8801,5.157,0.5604,1,AFA855
82,31.4814,34.6788,1.5084,5.4369,0.8984,4.5894,0.5966,1,AFA855
83,31.812,34.2929,1.6673,5.293,0.9499,4.0421,0.706,1,AFA855
84,32.1665,33.93,1.8695,4.155,0.9578,2.8298,0.8353,1,AFA855
85,33.2228,33.3115,1.7869,6.7972,0.9392,4.8433,0.6075,1,AFA855
86,33.8523,32.936,1.7271,7.0283,0.9372,5.1813,0.5663,1,AFA855
87,34.3423,32.5805,1.8002,7.2724,0.9373,5.1435,0.6007,1,AFA855
88,34.224,32.6696,1.7986,6.9672,0.9356,4.9322,0.6375,1,AFA855
89,33.8008,32.9114,1.9555,6.4397,0.9263,4.193,0.6965,1,AFA855
90,33.6612,33.0048,1.7272,5.341,0.9319,3.9373,0.698,1,AFA855
91,32.9068,33.4818,1.8571,4.9573,0.9547,3.3988,0.7983,1,AFA855
92,32.3693,34.0658,1.4843,4.9224,0.9112,4.2223,0.5619,1,AFA855
93,31.7063,34.6259,1.5029,6.0778,0.8873,5.149,0.5103,1,AFA855
94,31.1934,35.047,1.6894,6.7274,0.8598,5.0701,0.5488,1,AFA855
95,31.7171,34.6585,1.5788,4.9834,0.938,4.0188,0.6669,1,AFA855
96,32.0849,34.2558,1.8847,4.8701,0.9454,3.29,0.7775,1,AFA855
97,32.2584,34.0143,1.8382,3.9806,0.952,2.7572,0.8339,1,AFA855
98,32.5182,33.9164,1.8064,3.8629,0.9537,2.7228,0.8326,1,AFA855
99,32.7599,33.7568,1.7219,4.7349,0.9448,3.5012,0.735,1,AFA855
100,32.6565,33.7044,1.7264,4.809,0.9472,3.5467,0.7491,1,AFA855
101,32.7948,33.7096,1.6794,4.809,0.9439,3.646,0.7276,1,AFA855
102,32.3698,33.8611,1.6783,3.7975,0.9473,2.8811,0.8199,1,AFA855
103,31.9911,34.3666,1.6348,4.8221,0.9437,3.7555,0.6934,1,AFA855
104,31.3461,34.9292,1.6284,4.8483,0.9396,3.7908,0.6914,1,AFA855
105,31.7568,34.4429,1.733,3.7583,0.9514,2.7611,0.8439,1,AFA855
106,32.1295,34.2177,1.8881,4.2946,0.9522,2.896,0.8366,1,AFA855
107,32.489,33.9262,1.6018,4.469,0.9417,3.5523,0.6877,1,AFA855
108,32.9199,33.5496,1.5098,4.36,0.9372,3.6767,0.6826,1,AFA855
109,33.2988,33.2308,1.5243,4.5736,0.9349,3.8203,0.6544,1,AFA855
110,33.4523,33.1653,1.5783,4.6172,0.9455,3.7248,0.708,1,AFA855
111,33.0061,33.4842,1.6619,4.4646,0.9499,3.4204,0.7583,1,AFA855
112,32.8814,33.8086,1.7439,4.0242,0.9515,2.9381,0.8117,1,AFA855
113,32.8779,33.7062,1.7551,4.0286,0.9462,2.9225,0.8014,1,AFA855
114,32.963,33.6695,1.984,5.1753,0.95,3.3213,0.8062,1,AFA855
115,32.9612,33.6767,1.711,4.0373,0.9571,3.0044,0.8257,1,AFA855
116,32.6769,33.7964,1.7227,4.142,0.9472,3.0613,0.805,1,AFA855
117,32.6134,33.8568,1.7376,4.3338,0.9489,3.1756,0.7969,1,AFA855
118,32.7422,33.7181,1.6669,4.2771,0.9478,3.267,0.7865,1,AFA855
119,32.7604,33.7672,1.643,4.2466,0.953,3.2908,0.7736,1,AFA855
120,32.7693,33.795,1.5214,3.5054,0.9464,2.9337,0.7919,1,AFA855
121,32.6274,33.9048,1.89,4.4733,0.9526,3.0136,0.8368,1,AFA855
122,32.2829,34.2673,1.7107,4.1158,0.9454,3.0633,0.767,1,AFA855
123,32.6752,33.8814,1.6938,3.9501,0.9492,2.9693,0.8,1,AFA855
124,32.7193,33.7826,1.6307,3.8324,0.9421,2.9923,0.7884,1,AFA855
125,32.6687,33.7636,1.6523,3.9894,0.9472,3.0742,0.8014,1,AFA855
126,32.7079,33.7591,1.7465,4.1463,0.9486,3.0228,0.7981,1,AFA855
127,32.5945,33.8129,1.7665,3.8411,0.9587,2.7685,0.8485,1,AFA855
128,32.4976,33.9709,1.8293,4.3556,0.9528,3.0317,0.8351,1,AFA855
129,32.3972,34.097,1.8399,4.264,0.9602,2.9508,0.8434,1,AFA855
130,32.4333,33.9837,1.7606,4.0112,0.9563,2.9008,0.8285,1,AFA855
131,32.6428,33.8827,1.9711,4.9006,0.9489,3.1655,0.8324,1,AFA855
132,33.7103,33.399,1.5175,4.155,0.9408,3.4862,0.6657,1,AFA855
133,34.3068,32.8896,1.7116,4.4602,0.9543,3.318,0.7552,1,AFA855
134,33.8598,33.0043,1.9673,4.0199,0.9594,2.6017,0.8934,1,AFA855
135,33.1832,33.4123,1.6484,4.1027,0.9438,3.169,0.7434,1,AFA855
136,32.9179,33.645,1.6653,4.1638,0.9536,3.1834,0.7759,1,AFA855
137,32.9416,33.5867,1.7647,4.1158,0.9521,2.9696,0.8221,1,AFA855
138,33.0433,33.7111,1.8739,3.8804,0.958,2.6366,0.8788,1,AFA855
139,32.9865,33.7541,1.906,4.2292,0.9543,2.8252,0.86,1,AFA855
140,33.0561,33.7199,1.9344,4.142,0.9524,2.7263,0.8764,1,AFA855
141,33.1236,33.6453,1.8794,3.9022,0.9562,2.6436,0.88,1,AFA855
142,32.9916,33.6635,1.8699,3.8368,0.9591,2.6125,0.8873,1,AFA855
143,32.918,33.6864,1.8533,3.7496,0.9503,2.576,0.8383,1,AFA855
144,32.8824,33.7056,1.9004,3.8847,0.9504,2.6027,0.8545,1,AFA855
145,32.9279,33.681,1.8031,3.6406,0.9565,2.5708,0.8768,1,AFA855
146,32.9806,33.6602,1.7912,3.8673,0.9558,2.749,0.8507,1,AFA855
147,33.0542,33.5717,1.8269,3.8411,0.9571,2.6771,0.8536,1,AFA855
148,33.159,33.5492,2.0747,4.7872,0.9611,2.9379,0.8789,1,AFA855
149,33.0328,33.5978,1.6794,3.0258,0.9474,2.2941,0.8724,1,AFA855
150,32.9336,33.6383,1.7752,3.6929,0.9544,2.6486,0.8722,1,AFA855
151,32.5396,33.9119,1.8004,4.8308,0.9478,3.4164,0.7723,1,AFA855
152,32.5507,34.0357,1.9407,4.5474,0.9604,2.9835,0.846,1,AFA855
153,32.6629,33.9348,1.5749,2.9648,0.9524,2.3968,0.8649,1,AFA855
154,32.6088,33.9943,1.6864,3.6449,0.9565,2.7519,0.8481,1,AFA855
155,32.6579,33.9822,1.9464,4.6739,0.9567,3.0574,0.8468,1,AFA855
156,32.617,34.0177,1.7269,3.5664,0.9556,2.6295,0.8589,1,AFA855
157,32.5901,34.0231,1.8,3.5316,0.9518,2.4981,0.8635,1,AFA855
158,32.6576,34.0113,1.7887,3.4662,0.9538,2.4673,0.8757,1,AFA855
159,32.6047,33.9793,1.7543,3.379,0.955,2.4524,0.8865,1,AFA855
160,32.5972,34.0196,1.7285,3.501,0.956,2.5789,0.8709,1,AFA855
161,32.4298,34.0708,1.9432,4.2117,0.9617,2.7597,0.8772,1,AFA855
162,32.5203,34.0817,1.6022,2.5811,0.9472,2.0512,0.8727,1,AFA855
163,32.9792,33.8954,1.8398,4.8352,0.9434,3.3462,0.7532,1,AFA855
164,33.5461,33.6895,1.7151,5.0445,0.9456,3.7449,0.7067,1,AFA855
165,33.0935,33.7634,2.0153,4.8483,0.9529,3.0631,0.8435,1,AFA855
166,32.7847,34.0217,2.0219,4.7393,0.9481,2.9844,0.8443,1,AFA855
167,32.7596,33.952,1.9668,4.5169,0.9588,2.9241,0.853,1,AFA855
168,32.7575,33.9993,1.7079,3.3964,0.9547,2.532,0.862,1,AFA855
169,32.735,33.976,1.8107,3.6493,0.956,2.5661,0.8789,1,AFA855
170,32.6541,34.0904,1.9015,4.4036,0.9475,2.9487,0.8396,1,AFA855
171,32.0101,34.3495,1.6724,4.5692,0.9476,3.4787,0.7294,1,AFA855
172,32.0758,34.4366,1.8086,4.6521,0.9455,3.2751,0.779,1,AFA855
173,32.0003,34.4284,1.8247,4.591,0.9478,3.2036,0.803,1,AFA855
174,32.1895,34.3641,2.0207,4.4777,0.9545,2.8214,0.8571,1,AFA855
175,32.2095,34.339,1.978,4.3382,0.9503,2.7924,0.8547,1,AFA855
176,32.2359,34.3506,1.9625,4.203,0.9442,2.7269,0.8247,1,AFA855
177,32.2366,34.3557,2.0238,4.2858,0.9548,2.6963,0.8595,1,AFA855
178,32.3188,34.3449,2.0033,4.2422,0.9516,2.6962,0.8727,1,AFA855
179,32.4183,34.302,2.0122,4.1158,0.9559,2.6044,0.8745,1,AFA855
180,32.3871,34.3458,2.1341,4.4995,0.9547,2.6844,0.873,1,AFA855
181,32.4678,34.3297,1.9088,4.2117,0.9555,2.8093,0.8649,1,AFA855
1,19.8714,39.3806,1.5462,4.2989,0.905,3.54,0.6602,3,AFA855
2,22.0747,36.7512,1.1631,5.6331,0.8497,6.1664,0.391,3,AFA855
3,22.1721,34.2557,1.0162,3.501,0.6247,4.3866,0.2886,3,AFA855
4,22.617,34.5683,1.1542,2.5244,0.884,2.7848,0.5355,3,AFA855
5,20.0348,40.6427,1.9393,3.8455,0.8991,2.5248,0.6202,3,AFA855
6,22.444,37.9466,1.2159,6.1432,0.7643,6.4328,0.328,3,AFA855
7,22.5336,37.7466,1.0859,5.1317,0.7382,6.0168,0.3407,3,AFA855
8,21.8335,39.2705,1.8328,5.559,0.9253,3.8618,0.675,3,AFA855
9,21.6001,39.3053,1.8682,4.3382,0.9499,2.9565,0.8193,3,AFA855
10,20.9768,39.684,1.5741,5.2232,0.8815,4.225,0.5241,3,AFA855
11,21.5111,39.3839,1.2604,2.9866,0.9085,3.017,0.6621,3,AFA855
12,23.1058,37.793,1.8557,5.9383,0.9435,4.0743,0.704,3,AFA855
13,22.5833,39.0193,1.7948,5.4979,0.9524,3.9002,0.7119,3,AFA855
14,23.5462,37.4274,1.4197,6.5051,0.8667,5.8338,0.4343,3,AFA855
15,23.1423,38.2917,1.6452,6.056,0.9398,4.6867,0.58,3,AFA855
16,22.7928,38.6143,1.4665,3.5098,0.935,3.0471,0.712,3,AFA855
17,23.6976,37.384,1.8552,6.2042,0.9518,4.258,0.689,3,AFA855
18,22.6579,39.0314,1.8422,6.8146,0.8863,4.71,0.6071,3,AFA855
19,23.9877,37.1625,1.5647,6.9716,0.9184,5.6731,0.5188,3,AFA855
20,23.6554,37.4973,1.6908,6.7885,0.917,5.1118,0.5797,3,AFA855
21,23.6778,36.6269,1.2881,5.3628,0.858,5.3007,0.4399,3,AFA855
22,23.4138,38.1439,2.0355,6.7187,0.9512,4.2028,0.7386,3,AFA855
23,22.5001,39.3392,1.4818,6.819,0.8725,5.8592,0.4436,3,AFA855
24,23.7521,35.4199,1.4741,7.2375,0.7673,6.2513,0.4057,3,AFA855
25,23.8485,35.9752,1.5166,6.5792,0.8342,5.5233,0.4602,3,AFA855
26,23.9783,35.4309,1.7152,7.1809,0.7714,5.3306,0.45,3,AFA855
27,24.1564,36.3412,1.9314,6.4789,0.9352,4.2712,0.6991,3,AFA855
28,23.0531,39.0315,1.4742,5.9077,0.8245,5.1023,0.511,3,AFA855
29,24.8848,34.0272,1.8092,7.9133,0.7144,5.5691,0.4112,3,AFA855
30,24.7459,33.9742,1.7803,7.2201,0.755,5.1638,0.4428,3,AFA855
31,24.2651,36.8058,1.489,6.4484,0.887,5.5142,0.4273,3,AFA855
32,23.7794,37.563,1.2056,5.8162,0.8401,6.1424,0.3516,3,AFA855
33,24.0997,36.6013,1.8162,5.5284,0.9534,3.8758,0.733,3,AFA855
34,24.6293,34.2005,1.4017,6.6446,0.7469,6.0355,0.3755,3,AFA855
35,24.6552,33.745,1.1856,4.6259,0.6976,4.9677,0.3312,3,AFA855
36,24.6856,35.5096,1.421,4.0809,0.9145,3.6566,0.6562,3,AFA855
37,22.5575,38.4387,1.4918,5.1273,0.8003,4.3761,0.4697,3,AFA855
38,23.9683,37.1829,1.0622,3.7321,0.845,4.4738,0.4422,3,AFA855
39,24.2639,33.5597,1.4664,6.4527,0.6846,5.6027,0.3673,3,AFA855
40,24.0874,33.1019,1.8921,7.3858,0.7341,4.9701,0.4727,3,AFA855
41,24.6687,33.6499,2.0048,6.662,0.902,4.2311,0.6669,3,AFA855
42,24.5344,35.2188,1.6549,6.3219,0.8959,4.864,0.5668,3,AFA855
43,24.116,35.034,1.7916,6.3917,0.9111,4.5424,0.648,3,AFA855
44,23.3114,36.7251,1.2588,5.7769,0.7343,5.8434,0.3688,3,AFA855
45,23.763,36.1823,0.9754,1.5739,0.9048,2.0546,0.7134,3,AFA855
46,24.2598,35.9626,1.9324,5.5241,0.9375,3.6397,0.6974,3,AFA855
47,24.2177,33.7582,1.6057,6.7928,0.6769,5.3864,0.3716,3,AFA855
48,24.0881,33.1949,1.4745,6.4179,0.6807,5.5418,0.3618,3,AFA855
49,24.493,34.118,1.9274,6.4615,0.9037,4.2683,0.5961,3,AFA855
50,22.399,38.2309,1.1335,5.0401,0.5518,5.6614,0.2454,3,AFA855
51,22.1601,38.1296,1.3369,5.4543,0.5946,5.1945,0.3149,3,AFA855
52,23.1258,37.8893,1.8233,5.2886,0.9137,3.6932,0.6491,3,AFA855
53,24.7933,34.2273,1.6459,6.6751,0.6523,5.1636,0.3607,3,AFA855
54,23.2385,38.2143,0.6344,1.8399,0.6538,3.6927,0.2458,3,AFA855
55,22.661,38.5099,1.2787,5.6113,0.7901,5.5871,0.3944,3,AFA855
56,23.1608,37.8424,1.6905,5.8598,0.925,4.4135,0.6099,3,AFA855
57,23.9958,36.6913,1.6708,6.056,0.9174,4.615,0.5862,3,AFA855
58,24.9607,34.858,1.275,6.4527,0.8252,6.4438,0.359,3,AFA855
59,24.8319,35.1019,1.5354,6.3743,0.8802,5.2858,0.5149,3,AFA855
60,24.0749,36.5053,2.0347,5.7246,0.9501,3.5823,0.7651,3,AFA855
61,23.4705,37.5573,0.7983,1.6437,0.8767,2.6214,0.5599,3,AFA855
62,23.2016,37.853,0.7598,1.5914,0.8305,2.6669,0.4356,3,AFA855
63,23.4732,37.2655,1.8136,5.8075,0.9234,4.0771,0.6553,3,AFA855
64,24.585,34.1034,1.323,6.4963,0.7057,6.2518,0.3422,3,AFA855
65,24.5527,33.3016,1.4837,6.8059,0.7972,5.8403,0.4068,3,AFA855
66,24.6411,34.3403,1.8239,6.6271,0.9187,4.6262,0.6172,3,AFA855
67,24.0589,35.7841,1.2746,5.7726,0.7962,5.7666,0.3729,3,AFA855
68,22.7179,37.6103,1.3679,5.5546,0.757,5.1703,0.4371,3,AFA855
69,24.621,33.8313,1.129,3.9894,0.8383,4.499,0.4361,3,AFA855
70,24.452,35.0625,2.1221,5.9557,0.9347,3.5733,0.7676,3,AFA855
71,24.353,34.959,1.8452,5.6723,0.9448,3.914,0.7194,3,AFA855
72,24.3067,35.6835,1.8244,5.79,0.9489,4.0409,0.6868,3,AFA855
73,24.1566,35.91,1.8338,5.5764,0.9523,3.8719,0.7187,3,AFA855
74,24.7249,34.9596,1.5085,6.1911,0.8976,5.2255,0.5251,3,AFA855
75,24.3816,35.6393,1.7866,5.6549,0.9412,4.0301,0.6892,3,AFA855
76,23.22,37.6641,1.325,5.7464,0.8403,5.5219,0.4647,3,AFA855
77,23.8351,36.5427,1.7964,4.8134,0.9384,3.4117,0.7319,3,AFA855
78,24.0061,35.7349,1.5366,5.2712,0.8796,4.3677,0.5286,3,AFA855
79,24.571,34.5753,1.4332,5.9513,0.9214,5.287,0.4994,3,AFA855
80,24.7,34.3572,1.4861,5.8031,0.9164,4.972,0.5362,3,AFA855
81,24.5052,33.761,1.3629,5.838,0.8757,5.4538,0.4394,3,AFA855
82,24.5658,33.736,1.4068,5.8511,0.8797,5.2954,0.4868,3,AFA855
83,24.5163,33.7291,1.5408,5.5764,0.9367,4.608,0.6071,3,AFA855
84,24.5751,34.2466,1.8942,5.2014,0.9472,3.4963,0.7673,3,AFA855
85,24.4722,34.9288,1.805,4.9529,0.9494,3.4937,0.7482,3,AFA855
86,24.4729,34.6403,2.0218,4.6957,0.941,2.9571,0.7696,3,AFA855
87,24.5939,34.5868,1.9903,4.9616,0.9464,3.1741,0.7729,3,AFA855
88,24.6966,34.4886,1.8893,5.1796,0.9414,3.4906,0.7256,3,AFA855
89,24.484,34.6984,2.0019,4.8657,0.9543,3.0947,0.8105,3,AFA855
90,24.4223,35.0119,1.9281,4.7829,0.9498,3.1585,0.7955,3,AFA855
91,24.3936,34.9022,1.9347,4.9137,0.9463,3.2337,0.7804,3,AFA855
92,24.3778,35.4292,1.9245,4.9573,0.935,3.2797,0.7489,3,AFA855
93,24.337,35.0723,2.0048,4.53,0.9558,2.877,0.8362,3,AFA855
94,24.4407,34.9721,2.0805,4.7044,0.9519,2.879,0.8491,3,AFA855
95,24.3666,35.0465,2.0086,4.2292,0.9496,2.6808,0.8685,3,AFA855
96,24.3953,34.9846,2.0694,4.8352,0.9367,2.975,0.8362,3,AFA855
97,24.3424,35.0075,2.0888,4.7916,0.9393,2.9208,0.8199,3,AFA855
98,24.3354,35.1007,1.9944,4.6216,0.9545,2.9504,0.831,3,AFA855
99,24.2621,35.0849,1.9541,4.3556,0.9514,2.838,0.837,3,AFA855
100,24.3174,35.2185,2.0147,4.8221,0.9457,3.0475,0.805,3,AFA855
101,24.2213,35.2298,2.0649,4.6128,0.9463,2.8443,0.7983,3,AFA855
102,24.3677,34.9459,2.056,4.1943,0.9506,2.5974,0.8699,3,AFA855
103,24.2675,34.9835,1.9809,3.8411,0.9494,2.4689,0.8399,3,AFA855
104,24.3215,34.9943,1.9697,4.0984,0.9505,2.6493,0.8621,3,AFA855
105,24.3608,34.8625,1.997,4.0984,0.9349,2.613,0.8107,3,AFA855
106,24.2832,35.019,2.1153,4.2117,0.9447,2.5351,0.8461,3,AFA855
107,24.273,35.0361,1.9592,3.815,0.9506,2.4792,0.8566,3,AFA855
108,24.3841,35.0102,1.748,4.5344,0.9332,3.3028,0.7223,3,AFA855
109,24.3942,34.808,2.0695,5.1666,0.9488,3.1787,0.8008,3,AFA855
110,24.429,34.9331,1.6793,4.7,0.921,3.5635,0.7076,3,AFA855
111,24.4038,34.9871,1.908,4.7044,0.9432,3.1393,0.7907,3,AFA855
112,24.4336,35.0107,1.8076,4.687,0.9434,3.3014,0.7471,3,AFA855
113,24.4018,35.0781,2.1548,7.3727,0.9243,4.3564,0.692,3,AFA855
114,24.4769,34.9966,1.5195,4.6782,0.881,3.92,0.6311,3,AFA855
115,24.3666,34.9508,1.4276,4.3033,0.807,3.8381,0.5475,3,AFA855
116,24.2635,35.1277,1.8498,4.6259,0.9174,3.184,0.7332,3,AFA855
117,24.3545,35.1625,1.5712,4.2292,0.8138,3.4272,0.5217,3,AFA855
118,24.3725,34.9435,1.461,4.9442,0.8584,4.3089,0.5396,3,AFA855
119,24.3472,34.8024,1.4161,4.8526,0.7629,4.363,0.4687,3,AFA855
120,24.5399,34.663,1.3791,4.8483,0.8277,4.4761,0.495,3,AFA855
121,24.4254,34.6668,1.4319,5.0227,0.8403,4.466,0.5134,3,AFA855
122,24.3958,34.7879,1.2545,4.8265,0.7219,4.8986,0.3462,3,AFA855
123,24.5477,34.8058,1.2461,4.7306,0.7178,4.8337,0.3422,3,AFA855
124,24.4617,35.0651,1.3966,5.2058,0.7128,4.7459,0.364,3,AFA855
125,24.6362,34.7247,1.2472,5.0532,0.7095,5.1587,0.3541,3,AFA855
126,24.6279,34.5993,1.2294,4.6957,0.7492,4.863,0.3529,3,AFA855
127,24.6144,34.7412,1.6324,4.9573,0.8893,3.8667,0.621,3,AFA855
128,24.5361,34.8982,1.6019,4.373,0.9304,3.4759,0.6537,3,AFA855
129,24.5442,34.8371,1.7764,4.6128,0.9277,3.3063,0.7038,3,AFA855
130,24.4523,34.9476,1.7249,4.4254,0.9231,3.2667,0.6918,3,AFA855
131,24.5399,34.7972,1.5055,5.1012,0.884,4.3141,0.5534,3,AFA855
132,24.0932,35.5989,1.5719,3.004,0.9374,2.4332,0.8023,3,AFA855
133,23.9418,35.8502,1.7378,3.0476,0.9478,2.2329,0.8702,3,AFA855
1,31.1422,36.8945,1.7367,4.4428,0.9281,3.2573,0.6925,4,AFA855
2,31.8218,38.8904,1.7211,7.3378,0.9235,5.4285,0.5326,4,AFA855
3,32.3579,39.8711,1.5853,7.2681,0.8822,5.8372,0.4792,4,AFA855
4,32.0917,39.6893,1.3719,4.966,0.899,4.609,0.5433,4,AFA855
5,31.2098,38.2975,1.6464,5.4194,0.913,4.1911,0.6063,4,AFA855
6,30.9902,37.5511,1.3517,4.5126,0.9333,4.2506,0.5602,4,AFA855
7,31.3188,37.9571,1.726,4.4559,0.9321,3.287,0.7228,4,AFA855
8,32.1255,39.7454,1.5472,7.3553,0.8997,6.0529,0.4437,4,AFA855
9,33.0249,40.4741,1.6469,7.7084,0.7932,5.9596,0.4508,4,AFA855
